YEAR,MO,DA,HR,LAT,LON,CO201500,CO01500,TEMP
2015,9,22,3,-16.020,1.035.520,0.9005E-07,0.0000E+00,3
2015,9,22,3,-15.520,1.035.520,0.0000E+00,0.1679E-07,3
2015,9,22,3,-16.520,1.036.020,0.1351E-06,0.0000E+00,3
2015,9,22,3,-16.020,1.036.020,0.4503E-07,0.2239E-07,3
2015,9,22,3,-15.520,1.036.020,0.1801E-06,0.5598E-08,3
2015,9,22,3,-17.020,1.036.520,0.1351E-06,0.1679E-07,3
2015,9,22,3,-16.520,1.036.520,0.0000E+00,0.5038E-07,3
2015,9,22,3,-16.020,1.036.520,0.1351E-06,0.5598E-08,3
2015,9,22,3,-15.520,1.036.520,0.1351E-06,0.0000E+00,3
2015,9,22,3,-15.020,1.036.520,0.9005E-07,0.0000E+00,3
2015,9,22,3,-14.520,1.036.520,0.0000E+00,0.2239E-07,3
2015,9,22,3,-14.020,1.036.520,0.9004E-07,0.5598E-08,3
2015,9,22,3,-17.520,1.037.020,0.2702E-06,0.2239E-07,3
2015,9,22,3,-17.020,1.037.020,0.5103E-06,0.1082E-06,3
2015,9,22,3,-16.520,1.037.020,0.5453E-06,0.2799E-07,3
2015,9,22,3,-16.020,1.037.020,0.1351E-06,0.1679E-07,3
2015,9,22,3,-15.520,1.037.020,0.2701E-06,0.5100E-07,3
2015,9,22,3,-15.020,1.037.020,0.2251E-06,0.5038E-07,3
2015,9,22,3,-14.520,1.037.020,0.3602E-06,0.2799E-07,3
2015,9,22,3,-14.020,1.037.020,0.0000E+00,0.5598E-08,3
2015,9,22,3,-18.020,1.037.520,0.6654E-06,0.1250E-06,3
2015,9,22,3,-17.520,1.037.520,0.2046E-05,0.2507E-06,3
2015,9,22,3,-17.020,1.037.520,0.1376E-05,0.1337E-06,3
2015,9,22,3,-16.520,1.037.520,0.5953E-06,0.2799E-07,3
2015,9,22,3,-16.020,1.037.520,0.1006E-05,0.1051E-06,3
2015,9,22,3,-15.520,1.037.520,0.1426E-05,0.1306E-06,3
2015,9,22,3,-15.020,1.037.520,0.7654E-06,0.6717E-07,3
2015,9,22,3,-14.520,1.037.520,0.9004E-07,0.1679E-07,3
2015,9,22,3,-18.520,1.038.020,0.2599E-05,0.3888E-06,3
2015,9,22,3,-18.020,1.038.020,0.4473E-05,0.5953E-06,3
2015,9,22,3,-17.520,1.038.020,0.1351E-05,0.2009E-06,3
2015,9,22,3,-17.020,1.038.020,0.1451E-06,0.2924E-07,3
2015,9,22,3,-16.520,1.038.020,0.2717E-05,0.2706E-06,3
2015,9,22,3,-16.020,1.038.020,0.2456E-05,0.2986E-06,3
2015,9,22,3,-15.520,1.038.020,0.9305E-06,0.1325E-06,3
2015,9,22,3,-15.020,1.038.020,0.1351E-06,0.2239E-07,3
2015,9,22,3,-13.520,1.038.020,0.4502E-07,0.0000E+00,3
2015,9,22,3,-19.020,1.038.520,0.7075E-05,0.9300E-06,3
2015,9,22,3,-18.520,1.038.520,0.7222E-05,0.8591E-06,3
2015,9,22,3,-18.020,1.038.520,0.3853E-06,0.1325E-06,3
2015,9,22,3,-17.520,1.038.520,0.3002E-06,0.3732E-07,3
2015,9,22,3,-17.020,1.038.520,0.5558E-05,0.7831E-06,3
2015,9,22,3,-16.520,1.038.520,0.3877E-05,0.5399E-06,3
2015,9,22,3,-16.020,1.038.520,0.5653E-06,0.6531E-07,3
2015,9,22,3,-15.520,1.038.520,0.0000E+00,0.1244E-07,3
2015,9,22,3,-14.520,1.038.520,0.4502E-07,0.5598E-08,3
2015,9,22,3,-14.020,1.038.520,0.1351E-06,0.3359E-07,3
2015,9,22,3,-19.520,1.039.020,0.1540E-04,0.2035E-05,3
2015,9,22,3,-19.020,1.039.020,0.7055E-05,0.7605E-06,3
2015,9,22,3,-18.520,1.039.020,0.1001E-06,0.6221E-08,3
2015,9,22,3,-18.020,1.039.020,0.2276E-05,0.2429E-06,3
2015,9,22,3,-17.520,1.039.020,0.1132E-04,0.1511E-05,3
2015,9,22,3,-17.020,1.039.020,0.3184E-05,0.3869E-06,3
2015,9,22,3,-16.520,1.039.020,0.1451E-06,0.6220E-08,3
2015,9,22,3,-15.520,1.039.020,0.0000E+00,0.5598E-08,3
2015,9,22,3,-14.520,1.039.020,0.1801E-06,0.4478E-07,3
2015,9,22,3,-14.020,1.039.020,0.2251E-06,0.0000E+00,3
2015,9,22,3,-13.020,1.039.020,0.0000E+00,0.1119E-07,3
2015,9,22,3,-20.020,1.039.520,0.1554E-04,0.1991E-05,3
2015,9,22,3,-19.520,1.039.520,0.2692E-05,0.2880E-06,3
2015,9,22,3,-18.520,1.039.520,0.1392E-04,0.1877E-05,3
2015,9,22,3,-18.020,1.039.520,0.1610E-04,0.2086E-05,3
2015,9,22,3,-17.520,1.039.520,0.3677E-06,0.3732E-07,3
2015,9,22,3,-15.520,1.039.520,0.4502E-07,0.3421E-07,3
2015,9,22,3,-15.020,1.039.520,0.3152E-06,0.7339E-07,3
2015,9,22,3,-14.520,1.039.520,0.5853E-06,0.1120E-07,3
2015,9,22,3,-14.020,1.039.520,0.4502E-07,0.2239E-07,3
2015,9,22,3,-13.520,1.039.520,0.0000E+00,0.2799E-07,3
2015,9,22,3,-13.020,1.039.520,0.0000E+00,0.5597E-08,3
2015,9,22,3,-16.020,1.040.020,0.2401E-06,0.7713E-07,3
2015,9,22,3,-15.520,1.040.020,0.1801E-05,0.2146E-06,3
2015,9,22,3,-15.020,1.040.020,0.1186E-05,0.1368E-06,3
2015,9,22,3,-14.520,1.040.020,0.9505E-07,0.7339E-07,3
2015,9,22,3,-14.020,1.040.020,0.0000E+00,0.1120E-07,3
2015,9,22,3,-17.020,1.040.520,0.0000E+00,0.6220E-08,3
2015,9,22,3,-16.520,1.040.520,0.1211E-05,0.2308E-06,3
2015,9,22,3,-16.020,1.040.520,0.4097E-05,0.5592E-06,3
2015,9,22,3,-15.520,1.040.520,0.1476E-05,0.2326E-06,3
2015,9,22,3,-15.020,1.040.520,0.0000E+00,0.6966E-07,3
2015,9,22,3,-17.020,1.041.020,0.5063E-05,0.7458E-06,3
2015,9,22,3,-16.520,1.041.020,0.6073E-05,0.7928E-06,3
2015,9,22,3,-16.020,1.041.020,0.8505E-06,0.1120E-06,3
2015,9,22,3,-17.520,1.041.520,0.1484E-04,0.1954E-05,3
2015,9,22,3,-17.020,1.041.520,0.4978E-05,0.7213E-06,3
2015,9,22,3,-18.020,1.042.020,0.1442E-04,0.1852E-05,3
2015,9,22,3,-17.520,1.042.020,0.2752E-06,0.2582E-07,3
2015,9,22,3,-29.020,1.045.520,0.0000E+00,0.5603E-08,3
2015,9,22,3,-28.520,1.045.520,0.1803E-06,0.2801E-07,3
2015,9,22,3,-28.020,1.045.520,0.4506E-07,0.0000E+00,3
2015,9,22,3,-30.020,1.046.020,0.9014E-07,0.0000E+00,3
2015,9,22,3,-29.520,1.046.020,0.9013E-07,0.1743E-07,3
2015,9,22,3,-29.020,1.046.020,0.3155E-06,0.5105E-07,3
2015,9,22,3,-28.520,1.046.020,0.2704E-06,0.1681E-07,3
2015,9,22,3,-28.020,1.046.020,0.0000E+00,0.1121E-07,3
2015,9,22,3,-31.020,1.046.520,0.5008E-07,0.0000E+00,3
2015,9,22,3,-30.520,1.046.520,0.1953E-06,0.1245E-07,3
2015,9,22,3,-30.020,1.046.520,0.3255E-06,0.4670E-07,3
2015,9,22,3,-29.520,1.046.520,0.5007E-06,0.1133E-06,3
2015,9,22,3,-29.020,1.046.520,0.3605E-06,0.6163E-07,3
2015,9,22,3,-28.520,1.046.520,0.0000E+00,0.2241E-07,3
2015,9,22,3,-28.020,1.046.520,0.0000E+00,0.5603E-08,3
2015,9,22,3,-31.520,1.047.020,0.5008E-07,0.0000E+00,3
2015,9,22,3,-31.020,1.047.020,0.6511E-06,0.6102E-07,3
2015,9,22,3,-30.520,1.047.020,0.1262E-05,0.1538E-06,3
2015,9,22,3,-30.020,1.047.020,0.7411E-06,0.1986E-06,3
2015,9,22,3,-29.520,1.047.020,0.1803E-06,0.6724E-07,3
2015,9,22,3,-29.020,1.047.020,0.0000E+00,0.2241E-07,3
2015,9,22,3,-28.520,1.047.020,0.0000E+00,0.5603E-08,3
2015,9,22,3,-32.020,1.047.520,0.0000E+00,0.1245E-07,3
2015,9,22,3,-31.520,1.047.520,0.1397E-05,0.1414E-06,3
2015,9,22,3,-31.020,1.047.520,0.2108E-05,0.3929E-06,3
2015,9,22,3,-30.520,1.047.520,0.8964E-06,0.2758E-06,3
2015,9,22,3,-30.020,1.047.520,0.1352E-06,0.5043E-07,3
2015,9,22,3,-29.520,1.047.520,0.0000E+00,0.5603E-08,3
2015,9,22,3,-32.520,1.048.020,0.5009E-07,0.6228E-08,3
2015,9,22,3,-32.020,1.048.020,0.1748E-05,0.2298E-06,3
2015,9,22,3,-31.520,1.048.020,0.5950E-05,0.7149E-06,3
2015,9,22,3,-31.020,1.048.020,0.1700E-05,0.3543E-06,3
2015,9,22,3,-30.520,1.048.020,0.4507E-07,0.3985E-07,3
2015,9,22,3,-30.020,1.048.020,0.0000E+00,0.5604E-08,3
2015,9,22,3,-32.520,1.048.520,0.2900E-05,0.3294E-06,3
2015,9,22,3,-32.020,1.048.520,0.8805E-05,0.1276E-05,3
2015,9,22,3,-31.520,1.048.520,0.1437E-05,0.3042E-06,3
2015,9,22,3,-31.020,1.048.520,0.0000E+00,0.1744E-07,3
2015,9,22,3,-33.020,1.049.020,0.6131E-05,0.6882E-06,3
2015,9,22,3,-32.520,1.049.020,0.1293E-04,0.1776E-05,3
2015,9,22,3,-32.020,1.049.020,0.7563E-06,0.1351E-06,3
2015,9,22,3,-33.020,1.049.520,0.1793E-04,0.2430E-05,3
2015,9,22,3,-32.520,1.049.520,0.4508E-07,0.2242E-07,3
2015,9,22,3,-20.520,1.049.520,0.0000E+00,0.5599E-08,3
2015,9,22,3,-21.020,1.050.020,0.0000E+00,0.5600E-08,3
2015,9,22,3,-20.520,1.050.020,0.0000E+00,0.1120E-07,3
2015,9,22,3,-20.020,1.050.020,0.9007E-07,0.0000E+00,3
2015,9,22,3,-22.020,1.050.520,0.9008E-07,0.1120E-07,3
2015,9,22,3,-21.520,1.050.520,0.1351E-06,0.1680E-07,3
2015,9,22,3,-21.020,1.050.520,0.1351E-06,0.2800E-07,3
2015,9,22,3,-20.520,1.050.520,0.1351E-06,0.1680E-07,3
2015,9,22,3,-22.520,1.051.020,0.3804E-06,0.1120E-07,3
2015,9,22,3,-22.020,1.051.020,0.6856E-06,0.8524E-07,3
2015,9,22,3,-21.520,1.051.020,0.3153E-06,0.8960E-07,3
2015,9,22,3,-21.020,1.051.020,0.4504E-06,0.3360E-07,3
2015,9,22,3,-20.520,1.051.020,0.1801E-06,0.1120E-07,3
2015,9,22,3,-23.520,1.051.520,0.2502E-06,0.1245E-07,3
2015,9,22,3,-23.020,1.051.520,0.1096E-05,0.4169E-07,3
2015,9,22,3,-22.520,1.051.520,0.1912E-05,0.2072E-06,3
2015,9,22,3,-22.020,1.051.520,0.9108E-06,0.1524E-06,3
2015,9,22,3,-21.520,1.051.520,0.6305E-06,0.6160E-07,3
2015,9,22,3,-21.020,1.051.520,0.4504E-07,0.2240E-07,3
2015,9,22,3,-24.020,1.052.020,0.3504E-06,0.2489E-07,3
2015,9,22,3,-23.520,1.052.020,0.2372E-05,0.3143E-06,3
2015,9,22,3,-23.020,1.052.020,0.3343E-05,0.4362E-06,3
2015,9,22,3,-22.520,1.052.020,0.1316E-05,0.1935E-06,3
2015,9,22,3,-22.020,1.052.020,0.4954E-06,0.6720E-07,3
2015,9,22,3,-21.520,1.052.020,0.1351E-06,0.1120E-07,3
2015,9,22,3,-24.520,1.052.520,0.1051E-05,0.1058E-06,3
2015,9,22,3,-24.020,1.052.520,0.5576E-05,0.6584E-06,3
2015,9,22,3,-23.520,1.052.520,0.5521E-05,0.5563E-06,3
2015,9,22,3,-23.020,1.052.520,0.1046E-05,0.1568E-06,3
2015,9,22,3,-22.520,1.052.520,0.3203E-06,0.3920E-07,3
2015,9,22,3,-22.020,1.052.520,0.4504E-07,0.0000E+00,3
2015,9,22,3,-25.020,1.053.020,0.2753E-05,0.2489E-06,3
2015,9,22,3,-24.520,1.053.020,0.1059E-04,0.1402E-05,3
2015,9,22,3,-24.020,1.053.020,0.6770E-05,0.6945E-06,3
2015,9,22,3,-23.520,1.053.020,0.1476E-05,0.1083E-06,3
2015,9,22,3,-23.020,1.053.020,0.4154E-06,0.1742E-07,3
2015,9,22,3,-25.520,1.053.520,0.6650E-05,0.7792E-06,3
2015,9,22,3,-25.020,1.053.520,0.1700E-04,0.2116E-05,3
2015,9,22,3,-24.520,1.053.520,0.6610E-05,0.7642E-06,3
2015,9,22,3,-24.020,1.053.520,0.8309E-06,0.8899E-07,3
2015,9,22,3,-23.520,1.053.520,0.9009E-07,0.0000E+00,3
2015,9,22,3,-26.020,1.054.020,0.1887E-04,0.2384E-05,3
2015,9,22,3,-25.520,1.054.020,0.2208E-04,0.2873E-05,3
2015,9,22,3,-25.020,1.054.020,0.5083E-05,0.6140E-06,3
2015,9,22,3,-24.520,1.054.020,0.5055E-06,0.2489E-07,3
2015,9,22,3,-26.520,1.054.520,0.6015E-05,0.8297E-06,3
2015,9,22,3,-26.020,1.054.520,0.1788E-04,0.2120E-05,3
2015,9,22,3,-25.520,1.054.520,0.3672E-05,0.4176E-06,3
2015,9,22,3,-25.020,1.054.520,0.4505E-07,0.5601E-08,3
2015,9,22,3,-27.020,1.055.020,0.1830E-04,0.2177E-05,3
2015,9,22,3,-26.520,1.055.020,0.2295E-04,0.2546E-05,3
2015,9,22,3,-26.020,1.055.020,0.1234E-05,0.1351E-06,3
2015,9,22,3,-27.520,1.055.520,0.1825E-05,0.2381E-06,3
2015,9,22,3,-27.020,1.055.520,0.2941E-04,0.3419E-05,3
2015,9,22,6,-12.020,1.032.020,0.0000E+00,0.1679E-07,6
2015,9,22,6,-15.020,1.032.520,0.0000E+00,0.6220E-08,6
2015,9,22,6,-12.520,1.032.520,0.0000E+00,0.1119E-07,6
2015,9,22,6,-12.020,1.032.520,0.0000E+00,0.1119E-07,6
2015,9,22,6,-15.020,1.033.020,0.0000E+00,0.1244E-07,6
2015,9,22,6,-13.020,1.033.020,0.0000E+00,0.1182E-07,6
