YEAR,MO,DA,HR,LAT,LON,CO201500,CO01500
2015,9,22,3,-1.6020,103.5520,0.9005E-07,0.0000E+00
2015,9,22,3,-1.5520,103.5520,0.0000E+00,0.1679E-07
2015,9,22,3,-1.6520,103.6020,0.1351E-06,0.0000E+00
2015,9,22,3,-1.6020,103.6020,0.4503E-07,0.2239E-07
2015,9,22,3,-1.5520,103.6020,0.1801E-06,0.5598E-08
2015,9,22,3,-1.7020,103.6520,0.1351E-06,0.1679E-07
2015,9,22,3,-1.6520,103.6520,0.0000E+00,0.5038E-07
2015,9,22,3,-1.6020,103.6520,0.1351E-06,0.5598E-08
2015,9,22,3,-1.5520,103.6520,0.1351E-06,0.0000E+00
2015,9,22,3,-1.5020,103.6520,0.9005E-07,0.0000E+00
2015,9,22,3,-1.4520,103.6520,0.0000E+00,0.2239E-07
2015,9,22,3,-1.4020,103.6520,0.9004E-07,0.5598E-08
2015,9,22,3,-1.7520,103.7020,0.2702E-06,0.2239E-07
2015,9,22,3,-1.7020,103.7020,0.5103E-06,0.1082E-06
2015,9,22,3,-1.6520,103.7020,0.5453E-06,0.2799E-07
2015,9,22,3,-1.6020,103.7020,0.1351E-06,0.1679E-07
2015,9,22,3,-1.5520,103.7020,0.2701E-06,0.5100E-07
2015,9,22,3,-1.5020,103.7020,0.2251E-06,0.5038E-07
2015,9,22,3,-1.4520,103.7020,0.3602E-06,0.2799E-07
2015,9,22,3,-1.4020,103.7020,0.0000E+00,0.5598E-08
2015,9,22,3,-1.8020,103.7520,0.6654E-06,0.1250E-06
2015,9,22,3,-1.7520,103.7520,0.2046E-05,0.2507E-06
2015,9,22,3,-1.7020,103.7520,0.1376E-05,0.1337E-06
2015,9,22,3,-1.6520,103.7520,0.5953E-06,0.2799E-07
2015,9,22,3,-1.6020,103.7520,0.1006E-05,0.1051E-06
2015,9,22,3,-1.5520,103.7520,0.1426E-05,0.1306E-06
2015,9,22,3,-1.5020,103.7520,0.7654E-06,0.6717E-07
2015,9,22,3,-1.4520,103.7520,0.9004E-07,0.1679E-07
2015,9,22,3,-1.8520,103.8020,0.2599E-05,0.3888E-06
2015,9,22,3,-1.8020,103.8020,0.4473E-05,0.5953E-06
2015,9,22,3,-1.7520,103.8020,0.1351E-05,0.2009E-06
2015,9,22,3,-1.7020,103.8020,0.1451E-06,0.2924E-07
2015,9,22,3,-1.6520,103.8020,0.2717E-05,0.2706E-06
2015,9,22,3,-1.6020,103.8020,0.2456E-05,0.2986E-06
2015,9,22,3,-1.5520,103.8020,0.9305E-06,0.1325E-06
2015,9,22,3,-1.5020,103.8020,0.1351E-06,0.2239E-07
2015,9,22,3,-1.3520,103.8020,0.4502E-07,0.0000E+00
2015,9,22,3,-1.9020,103.8520,0.7075E-05,0.9300E-06
2015,9,22,3,-1.8520,103.8520,0.7222E-05,0.8591E-06
2015,9,22,3,-1.8020,103.8520,0.3853E-06,0.1325E-06
2015,9,22,3,-1.7520,103.8520,0.3002E-06,0.3732E-07
2015,9,22,3,-1.7020,103.8520,0.5558E-05,0.7831E-06
2015,9,22,3,-1.6520,103.8520,0.3877E-05,0.5399E-06
2015,9,22,3,-1.6020,103.8520,0.5653E-06,0.6531E-07
2015,9,22,3,-1.5520,103.8520,0.0000E+00,0.1244E-07
2015,9,22,3,-1.4520,103.8520,0.4502E-07,0.5598E-08
2015,9,22,3,-1.4020,103.8520,0.1351E-06,0.3359E-07
2015,9,22,3,-1.9520,103.9020,0.1540E-04,0.2035E-05
2015,9,22,3,-1.9020,103.9020,0.7055E-05,0.7605E-06
2015,9,22,3,-1.8520,103.9020,0.1001E-06,0.6221E-08
2015,9,22,3,-1.8020,103.9020,0.2276E-05,0.2429E-06
2015,9,22,3,-1.7520,103.9020,0.1132E-04,0.1511E-05
2015,9,22,3,-1.7020,103.9020,0.3184E-05,0.3869E-06
2015,9,22,3,-1.6520,103.9020,0.1451E-06,0.6220E-08
2015,9,22,3,-1.5520,103.9020,0.0000E+00,0.5598E-08
2015,9,22,3,-1.4520,103.9020,0.1801E-06,0.4478E-07
2015,9,22,3,-1.4020,103.9020,0.2251E-06,0.0000E+00
2015,9,22,3,-1.3020,103.9020,0.0000E+00,0.1119E-07
