"","V1"
"1",9.04976740134228e-08
"2",1.27910758045447e-06
"3",1.31819254981032e-06
"4",1.05079255523796e-07
"5",7.62725539273902e-08
"6",3.7942137508389e-07
"7",9.91125234651227e-08
"8",6.39462848025957e-08
"9",2.15233550463072e-07
"10",5.85466226195658e-07
"11",5.08179399803586e-07
"12",3.07055201114581e-07
"13",1.82853154032511e-07
"14",1.38545285779658e-06
"15",3.44485737244098e-07
"16",1.54019412696532e-06
"17",5.83795895560613e-08
"18",5.9405951414473e-08
"19",5.27090927270307e-08
"20",1.49606711034139e-07
"21",4.31762437577902e-07
"22",3.94354093175264e-07
"23",6.05050978876517e-07
"24",2.16072603986876e-07
"25",9.07117155488131e-08
"26",1.00753443624909e-07
"27",1.58600443024484e-06
"28",7.25109820491615e-07
"29",3.38954025860942e-07
"30",1.10466579850665e-07
"31",1.77798284202409e-07
"32",1.06077517851932e-06
"33",1.80528530183102e-07
"34",1.3005624717738e-07
"35",1.66499219569178e-06
"36",4.58813043202742e-07
"37",1.2748653574421e-07
"38",8.33046330011842e-07
"39",3.92942513323743e-07
"40",2.14065373797517e-07
"41",8.38588244140499e-08
"42",2.41393172444986e-07
"43",1.48287559602754e-06
"44",1.97274587448082e-06
"45",3.11427408305732e-07
"46",1.17509227240241e-07
"47",9.32168307685273e-08
"48",7.67988165714952e-08
"49",8.34464349598947e-08
"50",2.39911909201354e-07
"51",2.65489828012906e-07
"52",1.19907559911467e-07
"53",7.1178543706944e-08
"54",3.2150790293745e-07
"55",3.69309992440228e-07
"56",2.26153848693933e-07
"57",3.08236239452782e-07
"58",3.39955131347162e-07
"59",5.14685403104534e-07
"60",6.05650088470728e-08
"61",1.07012665238199e-07
"62",1.81374455534136e-07
"63",2.23251351957807e-07
"64",1.32255778941488e-06
"65",3.51832836226002e-07
"66",1.35463347569963e-07
"67",1.51922207544443e-07
"68",5.20060407294769e-08
"69",1.2619865987451e-07
"70",4.48352234382441e-07
"71",1.11302135677754e-07
"72",4.61698353494279e-08
"73",1.88865870433987e-07
"74",3.24607147688325e-07
"75",1.42583476047304e-07
"76",5.53169253531379e-08
"77",4.36524488552972e-07
"78",8.33026655363294e-08
"79",1.34750591736035e-06
"80",6.41339818176287e-08
"81",1.34208404494016e-06
"82",1.14800333771579e-06
"83",1.835568070501e-06
"84",2.3429915931268e-07
"85",8.29584612175781e-07
"86",1.34208432332959e-06
"87",1.34207715249549e-06
"88",4.67492099877947e-08
"89",5.03649563110094e-08
"90",7.22976137672959e-08
"91",7.05629262056689e-08
"92",1.01665110408499e-07
"93",7.12377216417548e-08
"94",6.49932965602743e-08
"95",1.8121710183929e-07
"96",1.08349435431189e-07
"97",2.18779850609179e-07
"98",1.03236595018475e-07
"99",4.14320617262236e-07
"100",6.91959939566569e-08
"101",6.39266995202149e-08
"102",4.54978154765756e-07
"103",2.11370569920912e-07
"104",1.45615389910247e-07
"105",1.42846061699186e-07
"106",1.78254450747078e-07
"107",4.15715126617543e-07
"108",5.97454035927832e-07
"109",8.56544357832296e-07
"110",3.85181749190788e-07
"111",1.30348869295732e-07
"112",5.81048523684442e-08
"113",2.95903071813951e-07
"114",3.18491944883623e-07
"115",2.02602559979375e-07
"116",6.68732787258009e-07
"117",8.40626350889042e-07
"118",4.54132658553963e-07
"119",4.40475791623575e-07
"120",4.80655373575897e-08
"121",4.7202492361776e-08
"122",7.02058879280323e-08
"123",5.64071282247916e-07
"124",4.72908022920446e-08
"125",5.26225308352224e-08
"126",8.22357426611893e-07
"127",8.26739448009524e-07
"128",4.79524289868915e-07
"129",2.49664303914556e-07
"130",1.5137510664935e-07
"131",1.40050588677558e-07
"132",1.8976750184513e-07
"133",4.96997020537821e-08
"134",4.50805399553778e-08
"135",1.5654713360054e-07
"136",3.86279018528465e-07
"137",5.62127095346649e-07
"138",6.21581343553902e-07
"139",2.86132224169475e-07
"140",3.65718247070635e-07
"141",2.88581009146197e-07
"142",2.37676495009364e-07
"143",1.81010491787982e-07
"144",2.59227429489054e-07
"145",7.67167527861381e-08
"146",9.97511977617581e-08
"147",7.13984420921126e-08
"148",1.96534077597759e-07
"149",2.02926706324108e-07
"150",2.57151466296848e-07
"151",2.22494270870578e-07
"152",2.30781893491675e-07
"153",9.57418621027286e-08
"154",7.01290279621531e-08
"155",6.2691830228253e-08
"156",1.00213131985097e-07
"157",4.61589300514796e-08
"158",6.27405339718692e-08
"159",6.44225685108138e-08
"160",7.38582839082306e-08
"161",1.42640366066738e-07
"162",9.85916355851744e-08
"163",9.70961276432871e-08
"164",8.92503174754825e-08
"165",5.67100630587115e-08
"166",6.12753583463927e-08
"167",4.81113583157259e-08
"168",1.29911184708242e-07
"169",7.96737142000874e-08
"170",8.72343208892877e-08
"171",5.02112666252599e-08
"172",8.17344274292575e-08
"173",1.61132330707469e-07
"174",1.32640620109285e-07
"175",1.18230324851179e-07
"176",5.07853365035719e-08
"177",5.6665756452119e-08
"178",6.14296996625003e-08
"179",8.10814787597278e-08
"180",1.89196508461406e-07
"181",1.98119806786679e-07
"182",1.30162691732951e-07
"183",6.61734558160331e-08
"184",6.42321013736147e-08
"185",6.11554987068495e-08
"186",1.01541745273871e-07
"187",1.77369012395337e-07
"188",9.07608336565287e-08
"189",3.01277481195815e-07
"190",7.24285743882487e-08
"191",5.67976823667042e-08
"192",2.52249188209529e-07
"193",3.86752774926501e-07
"194",1.23575550170527e-07
"195",2.21934805252982e-07
"196",2.26284511028072e-07
"197",1.92319059668918e-07
"198",5.01754253625303e-07
"199",1.81426538797675e-07
"200",9.93730738441148e-08
"201",9.84119298023786e-08
"202",9.35005400846453e-08
"203",7.69392904169873e-08
"204",1.15008880319062e-07
"205",1.58776173511643e-07
"206",6.21509535825604e-08
"207",4.86269256699396e-08
"208",4.62451921746674e-08
"209",1.10649148283662e-07
"210",1.51624426660154e-07
"211",1.75645951053553e-07
"212",5.30343827091344e-08
"213",4.9493067478054e-08
"214",1.27918003438919e-07
"215",1.16255021516266e-07
"216",3.08413364601334e-07
"217",2.50155623358854e-07
"218",9.8575704344673e-08
"219",5.06863923678762e-08
"220",4.74054509932316e-08
"221",2.11569969433943e-07
"222",9.41795074226159e-08
"223",4.86269256699396e-08
"224",5.2478911642449e-08
"225",7.91502983728987e-08
"226",1.95055437347695e-07
"227",1.10019668165327e-07
"228",1.03606626455951e-07
"229",5.14404617847886e-08
"230",2.40576306793717e-07
"231",2.68133899581283e-07
"232",1.27163678106699e-07
"233",1.16398549859653e-07
"234",9.39668847873913e-08
"235",5.40856857270006e-07
"236",2.61830510191752e-07
"237",1.07548342194299e-07
"238",2.59974857935294e-07
"239",6.85674377073716e-08
"240",1.00876530147278e-07
"241",1.51839981968337e-07
"242",3.50071932686025e-07
"243",1.64795661807444e-06
"244",1.60504314906066e-07
"245",1.2806891166004e-07
"246",1.188436044938e-06
"247",4.06067336807066e-07
"248",6.03667495486049e-07
"249",7.6271147654497e-08
"250",6.6748726532245e-08
"251",1.39266135218575e-07
"252",5.10609451842421e-07
"253",2.64784503312874e-07
"254",1.71515556906663e-07
"255",1.44102862382292e-07
"256",3.62339706485701e-07
"257",7.24977878103389e-08
"258",7.34726129883108e-08
"259",4.86269256699396e-08
"260",4.73032161177504e-08
"261",1.07983842900699e-07
"262",1.45748095881031e-07
"263",6.57648178683528e-08
"264",6.12313193203708e-08
"265",1.01695234856639e-07
"266",1.71004134592718e-07
"267",1.0330641694879e-07
"268",2.33228346897223e-07
"269",2.2955436089715e-07
"270",5.48027589345993e-08
"271",1.95552968474001e-07
"272",1.67341971225172e-07
"273",9.0062887813398e-08
"274",2.05133356192772e-07
"275",7.98589196290291e-08
"276",1.46487305474158e-07
"277",3.86607831553112e-07
"278",3.06880065839774e-07
"279",1.70299023818595e-07
"280",5.99651365072299e-07
"281",3.17129098269989e-07
"282",1.39851166089158e-07
"283",1.3735142497447e-07
"284",7.50352458922393e-08
"285",1.59225804872579e-07
"286",4.93815310355122e-07
"287",7.64102259697408e-07
"288",2.80339325274815e-07
"289",2.78566198645777e-07
"290",4.69778691357348e-08
"291",3.29775696115458e-07
"292",1.45669036250416e-07
"293",1.16165305137965e-07
"294",5.83296835131083e-08
"295",5.69555801755528e-08
"296",1.84693166673832e-07
"297",4.13446387153656e-07
"298",3.05643199656942e-07
"299",6.00059709415101e-08
"300",1.18174297146193e-07
"301",1.11873268247927e-07
"302",1.64849280548809e-07
"303",8.83952529070471e-08
"304",6.88364256800117e-08
"305",7.82583388532248e-08
"306",1.35862308112442e-07
"307",1.28812221643212e-07
"308",1.58746463188432e-07
"309",2.94578845511317e-07
"310",1.39774472299586e-07
"311",2.58822107966992e-07
"312",7.59747708866112e-08
"313",6.61744199051968e-08
"314",8.19217224879362e-08
"315",1.06540678532563e-07
"316",1.20837954337469e-07
"317",1.72671792518507e-07
"318",6.13596030170759e-08
"319",1.84713822143732e-07
"320",8.12290049741452e-08
"321",1.17430198245108e-07
